fetch_date,warehouse_id,date,temp_max,temp_min,precipitation,wind_speed,weather_code
2026-07-07,dallas,2026-07-11,36.6,27.0,1.1,19.9,51
2026-07-07,dallas,2026-07-12,35.2,25.6,0.6,11.9,51
2026-07-07,dallas,2026-07-13,39.3,27.3,0.0,15.0,2
2026-07-07,dallas,2026-07-14,39.7,28.7,0.0,21.4,0
2026-07-08,dallas,2026-07-08,38.0,26.0,0.0,17.0,3
2026-07-08,dallas,2026-07-09,38.1,27.0,0.0,22.0,1
2026-07-08,dallas,2026-07-10,39.1,26.3,0.0,29.6,3
2026-07-08,dallas,2026-07-11,38.8,26.8,0.0,25.0,3
2026-07-08,dallas,2026-07-12,36.0,26.2,2.2,19.5,53
2026-07-08,dallas,2026-07-13,36.5,23.7,8.3,19.5,81
2026-07-08,dallas,2026-07-14,32.2,23.7,10.2,14.2,81
2026-07-08,dallas,2026-07-15,32.5,24.0,0.3,14.0,51
